subject_id,channel,segment,peak_index,center_frequency_hz,peak_power,bandwidth_hz
P001_S1_rest,F3,full,1,3.416047,0.078796,2.209369
P001_S1_rest,F3,full,2,7.26366,0.131231,1.13011
P001_S1_rest,F3,full,3,9.78088,0.176853,1.354437
P001_S1_rest,F3,full,4,36.133838,0.102277,1.362728
P001_S1_rest,F4,full,1,9.794831,0.212521,1.492562
P001_S1_rest,C3,full,1,9.939402,0.219338,1.323281
P001_S1_rest,C4,full,1,2.172672,0.128337,1.0
P001_S1_rest,C4,full,2,9.927898,0.265066,1.423741
P001_S1_rest,C4,full,3,11.54477,0.12106,1.0
P001_S1_rest,C4,full,4,14.84636,0.111373,2.07201
P001_S1_rest,Cz,full,1,2.246938,0.143833,1.0
P001_S1_rest,Cz,full,2,4.606702,0.111205,1.507664
P001_S1_rest,Cz,full,3,10.122516,0.200769,1.306646
P001_S1_rest,Cz,full,4,15.855277,0.107141,1.780635
P001_S1_rest,Cz,full,5,36.673803,0.10573,1.481272
P001_S1_rest,P3,full,1,2.12091,0.084578,1.0
P001_S1_rest,P3,full,2,6.786611,0.099024,2.333838
P001_S1_rest,P3,full,3,10.260769,0.187255,1.934909
P001_S1_rest,P4,full,1,3.23549,0.168285,2.067782
P001_S1_rest,P4,full,2,10.028044,0.246691,1.534955
P001_S1_rest,P4,full,3,28.236201,0.075184,3.043711
