group,metric,n,mean,sd,median,iqr,min,max
all,aperiodic exponent,24,1.2763,0.3297,1.2742,0.5964,0.8497,1.7084
all,fit r^2,24,0.9932,0.0016,0.9934,0.0026,0.9895,0.9956
all,% epochs kept,24,89.9075,4.5621,90.45,2.2625,71.86,95.98
all,clean minutes,24,2.9819,0.1513,3.0,0.075,2.3833,3.1833
all,across-channel SD,24,0.0327,0.0106,0.0334,0.0134,0.0077,0.0539
movie,aperiodic exponent,12,1.2905,0.3436,1.2926,0.6166,0.8636,1.7084
movie,fit r^2,12,0.993,0.0019,0.9937,0.0026,0.9895,0.9953
movie,% epochs kept,12,88.9025,5.6993,90.2,1.755,71.86,93.47
movie,clean minutes,12,2.9486,0.189,2.9916,0.0583,2.3833,3.1
movie,across-channel SD,12,0.0332,0.01,0.0335,0.0162,0.0188,0.0475
rest,aperiodic exponent,12,1.2622,0.3298,1.2633,0.6011,0.8497,1.6462
rest,fit r^2,12,0.9934,0.0015,0.9934,0.0019,0.9909,0.9956
rest,% epochs kept,12,90.9125,2.9719,90.7,2.765,85.43,95.98
rest,clean minutes,12,3.0153,0.0986,3.0084,0.0917,2.8333,3.1833
rest,across-channel SD,12,0.0322,0.0116,0.0334,0.0072,0.0077,0.0539
